章番号,問題番号,分類名称,問題,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT005,Q1230,法人税,次の償却方法に関する記述で正しくないものを選びなさい。,新たに法人によって取得された建物は定率法で償却しなければならない,新たに法人によって取得された商標権は定額法で償却できる,新たに法人によって取得された鉱業権は定額法と生産高比例法による償却を選択できる,新たに法人によって取得された電気設備は定率法と定額法による償却を選択できる,新たに法人によって取得されたリース資産はリース期間に対する定額法で償却できる,1,新たに法人によって取得された建物は定率法で償却しなければならない,法人税法上の償却方法には資産区分に応じて選択出来る償却方法が異なる。法人が償却方法の選択をしなかった場合には、法人税法が定める法定償却方法で計算しなければならない。
SECT005,Q1240,法人税,次の償却方法に関する記述で正しくないものを選びなさい。,新たに法人によって取得された商標権は定額法で償却できない,新たに法人によって取得された建物は定額法で償却しなければならない,新たに法人によって取得された鉱業権は定額法と生産高比例法による償却を選択できる,新たに法人によって取得された電気設備は定率法と定額法による償却を選択できる,新たに法人によって取得されたリース資産はリース期間に対する定額法で償却できる,1,新たに法人によって取得された商標権は定額法で償却できない,法人税法上の償却方法には資産区分に応じて選択出来る償却方法が異なる。法人が償却方法の選択をしなかった場合には、法人税法が定める法定償却方法で計算しなければならない。
SECT005,Q1250,法人税,次の償却方法に関する記述で正しくないものを選びなさい。,新たに法人によって取得された鉱業権は定額法のみ選択でき、生産高比例法は選択できない,新たに法人によって取得された商標権は定額法で償却できる,新たに法人によって取得された建物は定額法で償却しなければならない,新たに法人によって取得された電気設備は定率法と定額法による償却を選択できる,新たに法人によって取得されたリース資産はリース期間に対する定額法で償却できる,1,新たに法人によって取得された鉱業権は定額法のみ選択でき、生産高比例法は選択できない,法人税法上の償却方法には資産区分に応じて選択出来る償却方法が異なる。法人が償却方法の選択をしなかった場合には、法人税法が定める法定償却方法で計算しなければならない。
SECT005,Q1260,法人税,次の償却方法に関する記述で正しくないものを選びなさい。,新たに法人によって取得された電気設備は定率法のみ選択でき、定額法による償却を選択できない,新たに法人によって取得された商標権は定額法で償却できる,新たに法人によって取得された鉱業権は定額法と生産高比例法による償却を選択できる,新たに法人によって取得された建物は定額法で償却しなければならない,新たに法人によって取得されたリース資産はリース期間に対する定額法で償却できる,1,新たに法人によって取得された電気設備は定率法のみ選択でき、定額法による償却を選択できない,法人税法上の償却方法には資産区分に応じて選択出来る償却方法が異なる。法人が償却方法の選択をしなかった場合には、法人税法が定める法定償却方法で計算しなければならない。
SECT005,Q1270,法人税,次の償却方法に関する記述で正しくないものを選びなさい。,新たに法人によって取得されたリース資産は定額法で償却できない,新たに法人によって取得された商標権は定額法で償却できる,新たに法人によって取得された鉱業権は定額法と生産高比例法による償却を選択できる,新たに法人によって取得された電気設備は定率法と定額法による償却を選択できる,新たに法人によって取得された建物は定額法で償却しなければならない,1,新たに法人によって取得されたリース資産は定額法で償却できない,法人税法上の償却方法には資産区分に応じて選択出来る償却方法が異なる。法人が償却方法の選択をしなかった場合には、法人税法が定める法定償却方法で計算しなければならない。
SECT005,Q1280,法人税,次の租税公課に関する記述で正しくないものを選びなさい。,法人が納付する租税公課は、原則として各事業年度の所得の金額の計算上、損金の額に算入することはできない,法人税(延滞税、無申告加算税)については損金の額に算入されない,法人が納付する住民税(延滞金、不申告加算税、など)は損金の額に参入されない,法人が納付する印紙税法上の規定による過怠金は損金の額に参入されない,法人が納付する罰金、科料ならびに過料は損金の額に参入されない,1,法人が納付する租税公課は、原則として各事業年度の所得の金額の計算上、損金の額に算入することはできない,各年度の所得を計算した上で法人が納付する租税公課は原則として損金算入できる。損金算入できる租税公課には消費税、固定資産税、事業税、自動車税、利子税、登録免許税、印紙税、都市計画税等がある。#ただし、#・法人税(延滞税、無申告加算税、など)#・住民税(延滞金、不申告加算税、など)#・印紙税法上の規定による過怠金#・罰金、科料ならびに過料#等は損金算入できない。
SECT005,Q1290,法人税,次の租税公課に関する記述で正しくないものを選びなさい。,法人税(延滞税、無申告加算税)については損金の額に算入される,法人が納付する租税公課は、原則として各事業年度の所得の金額の計算上、損金の額に算入される,法人が納付する住民税(延滞金、不申告加算税、など)は損金の額に参入されない,法人が納付する印紙税法上の規定による過怠金は損金の額に参入されない,法人が納付する罰金、科料ならびに過料は損金の額に参入されない,1,法人税(延滞税、無申告加算税)については損金の額に算入される,各年度の所得を計算した上で法人が納付する租税公課は原則として損金算入できる。損金算入できる租税公課には消費税、固定資産税、事業税、自動車税、利子税、登録免許税、印紙税、都市計画税等がある。#ただし、#・法人税(延滞税、無申告加算税、など)#・住民税(延滞金、不申告加算税、など)#・印紙税法上の規定による過怠金#・罰金、科料ならびに過料#等は損金算入できない。
SECT005,Q1300,法人税,次の租税公課に関する記述で正しくないものを選びなさい。,法人が納付する住民税(延滞金、不申告加算税、など)は損金の額に参入される,法人税(延滞税、無申告加算税)については損金の額に算入されない,法人が納付する租税公課は、原則として各事業年度の所得の金額の計算上、損金の額に算入される,法人が納付する印紙税法上の規定による過怠金は損金の額に参入されない,法人が納付する罰金、科料ならびに過料は損金の額に参入されない,1,法人が納付する住民税(延滞金、不申告加算税、など)は損金の額に参入される,各年度の所得を計算した上で法人が納付する租税公課は原則として損金算入できる。損金算入できる租税公課には消費税、固定資産税、事業税、自動車税、利子税、登録免許税、印紙税、都市計画税等がある。#ただし、#・法人税(延滞税、無申告加算税、など)#・住民税(延滞金、不申告加算税、など)#・印紙税法上の規定による過怠金#・罰金、科料ならびに過料#等は損金算入できない。
SECT005,Q1310,法人税,次の租税公課に関する記述で正しくないものを選びなさい。,法人が納付する印紙税法上の規定による過怠金は損金の額に参入される,法人税(延滞税、無申告加算税)については損金の額に算入されない,法人が納付する住民税(延滞金、不申告加算税、など)は損金の額に参入されない,法人が納付する租税公課は、原則として各事業年度の所得の金額の計算上、損金の額に算入される,法人が納付する罰金、科料ならびに過料は損金の額に参入されない,1,法人が納付する印紙税法上の規定による過怠金は損金の額に参入される,各年度の所得を計算した上で法人が納付する租税公課は原則として損金算入できる。損金算入できる租税公課には消費税、固定資産税、事業税、自動車税、利子税、登録免許税、印紙税、都市計画税等がある。#ただし、#・法人税(延滞税、無申告加算税、など)#・住民税(延滞金、不申告加算税、など)#・印紙税法上の規定による過怠金#・罰金、科料ならびに過料#等は損金算入できない。
SECT005,Q1320,法人税,次の租税公課に関する記述で正しくないものを選びなさい。,法人が納付する罰金、科料ならびに過料は損金の額に参入される,法人税(延滞税、無申告加算税)については損金の額に算入されない,法人が納付する住民税(延滞金、不申告加算税、など)は損金の額に参入されない,法人が納付する印紙税法上の規定による過怠金は損金の額に参入されない,法人が納付する租税公課は、原則として各事業年度の所得の金額の計算上、損金の額に算入される,1,法人が納付する罰金、科料ならびに過料は損金の額に参入される,各年度の所得を計算した上で法人が納付する租税公課は原則として損金算入できる。損金算入できる租税公課には消費税、固定資産税、事業税、自動車税、利子税、登録免許税、印紙税、都市計画税等がある。#ただし、#・法人税(延滞税、無申告加算税、など)#・住民税(延滞金、不申告加算税、など)#・印紙税法上の規定による過怠金#・罰金、科料ならびに過料#等は損金算入できない。
SECT005,Q1330,法人税,次の租税公課に関する記述で正しくないものを選びなさい。,法人によって損金算入される租税公課には事業税は含まれない,法人によって損金算入される租税公課には利子税が含まれる,法人によって損金算入される租税公課には登録免許税が含まれる,法人によって損金算入される租税公課には消費税が含まれる,法人によって損金算入される租税公課には自動車税が含まれる,1,法人によって損金算入される租税公課には事業税は含まれない,各年度の所得を計算した上で法人が納付する租税公課は原則として損金算入できる。損金算入できる租税公課には消費税、固定資産税、事業税、自動車税、利子税、登録免許税、印紙税、都市計画税等がある。#ただし、#・法人税(延滞税、無申告加算税、など)#・住民税(延滞金、不申告加算税、など)#・印紙税法上の規定による過怠金#・罰金、科料ならびに過料#等は損金算入できない。
SECT005,Q1340,法人税,次の租税公課に関する記述で正しくないものを選びなさい。,法人によって損金算入される租税公課には利子税は含まれない,法人によって損金算入される租税公課には事業税は含まれる,法人によって損金算入される租税公課には登録免許税が含まれる,法人によって損金算入される租税公課には消費税が含まれる,法人によって損金算入される租税公課には自動車税が含まれる,1,法人によって損金算入される租税公課には利子税は含まれない,各年度の所得を計算した上で法人が納付する租税公課は原則として損金算入できる。損金算入できる租税公課には消費税、固定資産税、事業税、自動車税、利子税、登録免許税、印紙税、都市計画税等がある。#ただし、#・法人税(延滞税、無申告加算税、など)#・住民税(延滞金、不申告加算税、など)#・印紙税法上の規定による過怠金#・罰金、科料ならびに過料#等は損金算入できない。
SECT005,Q1350,法人税,次の租税公課に関する記述で正しくないものを選びなさい。,法人によって損金算入される租税公課には登録免許税は含まれない,法人によって損金算入される租税公課には利子税が含まれる,法人によって損金算入される租税公課には事業税は含まれる,法人によって損金算入される租税公課には消費税が含まれる,法人によって損金算入される租税公課には自動車税が含まれる,1,法人によって損金算入される租税公課には登録免許税は含まれない,各年度の所得を計算した上で法人が納付する租税公課は原則として損金算入できる。損金算入できる租税公課には消費税、固定資産税、事業税、自動車税、利子税、登録免許税、印紙税、都市計画税等がある。#ただし、#・法人税(延滞税、無申告加算税、など)#・住民税(延滞金、不申告加算税、など)#・印紙税法上の規定による過怠金#・罰金、科料ならびに過料#等は損金算入できない。
SECT005,Q1360,法人税,次の租税公課に関する記述で正しくないものを選びなさい。,法人によって損金算入される租税公課には消費税は含まれない,法人によって損金算入される租税公課には利子税が含まれる,法人によって損金算入される租税公課には登録免許税が含まれる,法人によって損金算入される租税公課には事業税は含まれる,法人によって損金算入される租税公課には自動車税が含まれる,1,法人によって損金算入される租税公課には消費税は含まれない,各年度の所得を計算した上で法人が納付する租税公課は原則として損金算入できる。損金算入できる租税公課には消費税、固定資産税、事業税、自動車税、利子税、登録免許税、印紙税、都市計画税等がある。#ただし、#・法人税(延滞税、無申告加算税、など)#・住民税(延滞金、不申告加算税、など)#・印紙税法上の規定による過怠金#・罰金、科料ならびに過料#等は損金算入できない。
SECT005,Q1370,法人税,次の租税公課に関する記述で正しくないものを選びなさい。,法人によって損金算入される租税公課には自動車税は含まれない,法人によって損金算入される租税公課には利子税が含まれる,法人によって損金算入される租税公課には登録免許税が含まれる,法人によって損金算入される租税公課には消費税が含まれる,法人によって損金算入される租税公課には事業税は含まれる,1,法人によって損金算入される租税公課には自動車税は含まれない,各年度の所得を計算した上で法人が納付する租税公課は原則として損金算入できる。損金算入できる租税公課には消費税、固定資産税、事業税、自動車税、利子税、登録免許税、印紙税、都市計画税等がある。#ただし、#・法人税(延滞税、無申告加算税、など)#・住民税(延滞金、不申告加算税、など)#・印紙税法上の規定による過怠金#・罰金、科料ならびに過料#等は損金算入できない。
SECT005,Q1380,法人税,法人による寄附金の取扱いについて誤っているものを選択しなさい。,法人による図書館建設のための寄附金はその全額を損金算入することができない,国や地方公共団体に対する寄附金及び指定寄附金は、その全額が損金の額に算入される,特定公益増進法人に対する寄附金は、一般の寄附金とは別枠で損金算入限度額までの金額が損金の額に算入される。,公共法人に対する寄附金は、一般の寄附金とは別枠で損金算入限度額までの金額が損金の額に算入される。,法人による政治団体に対する政治資金支援のための寄附金は全額損入されない,1,法人による図書館建設のための寄附金はその全額を損金算入することができない,寄附金は国や地方公共団体に対する寄附金および財務大臣が指定した指定寄附金、社会福祉法人等の特定公益増進法人に対する寄附金、その他の一般の寄附金に区分される。#国や地方公共団体に対する寄附金及び指定寄附金は、その全額が損金の額に算入される。#公共法人、特定公益増進法人や認定特定非営利活動法人等に対する寄附金は、一般の寄附金とは別枠で損金算入限度額までの金額が損金の額に算入される。
SECT005,Q1390,法人税,法人による寄附金の取扱いについて誤っているものを選択しなさい。,国や地方公共団体に対する寄附金及び指定寄附金は、全額が損金の額に算入することはできない,法人による図書館建設のための寄附金はその全額が損金算入される,特定公益増進法人に対する寄附金は、一般の寄附金とは別枠で損金算入限度額までの金額が損金の額に算入される。,公共法人に対する寄附金は、一般の寄附金とは別枠で損金算入限度額までの金額が損金の額に算入される。,法人による政治団体に対する政治資金支援のための寄附金は全額損入されない,1,国や地方公共団体に対する寄附金及び指定寄附金は、全額が損金の額に算入することはできない,寄附金は国や地方公共団体に対する寄附金および財務大臣が指定した指定寄附金、社会福祉法人等の特定公益増進法人に対する寄附金、その他の一般の寄附金に区分される。#国や地方公共団体に対する寄附金及び指定寄附金は、その全額が損金の額に算入される。#公共法人、特定公益増進法人や認定特定非営利活動法人等に対する寄附金は、一般の寄附金とは別枠で損金算入限度額までの金額が損金の額に算入される。
SECT005,Q1400,法人税,法人による寄附金の取扱いについて誤っているものを選択しなさい。,特定公益増進法人に対する寄附金は、その全額が損金算入される,国や地方公共団体に対する寄附金及び指定寄附金は、その全額が損金の額に算入される,法人による図書館建設のための寄附金はその全額が損金算入される,公共法人に対する寄附金は、一般の寄附金とは別枠で損金算入限度額までの金額が損金の額に算入される。,法人による政治団体に対する政治資金支援のための寄附金は全額損入されない,1,特定公益増進法人に対する寄附金は、その全額が損金算入される,寄附金は国や地方公共団体に対する寄附金および財務大臣が指定した指定寄附金、社会福祉法人等の特定公益増進法人に対する寄附金、その他の一般の寄附金に区分される。#国や地方公共団体に対する寄附金及び指定寄附金は、その全額が損金の額に算入される。#公共法人、特定公益増進法人や認定特定非営利活動法人等に対する寄附金は、一般の寄附金とは別枠で損金算入限度額までの金額が損金の額に算入される。
SECT005,Q1410,法人税,法人による寄附金の取扱いについて誤っているものを選択しなさい。,公共法人に対する寄附金は、全額が損金算入される,国や地方公共団体に対する寄附金及び指定寄附金は、その全額が損金の額に算入される,特定公益増進法人に対する寄附金は、一般の寄附金とは別枠で損金算入限度額までの金額が損金の額に算入される。,法人による図書館建設のための寄附金はその全額が損金算入される,法人による政治団体に対する政治資金支援のための寄附金は全額損入されない,1,公共法人に対する寄附金は、全額が損金算入される,寄附金は国や地方公共団体に対する寄附金および財務大臣が指定した指定寄附金、社会福祉法人等の特定公益増進法人に対する寄附金、その他の一般の寄附金に区分される。#国や地方公共団体に対する寄附金及び指定寄附金は、その全額が損金の額に算入される。#公共法人、特定公益増進法人や認定特定非営利活動法人等に対する寄附金は、一般の寄附金とは別枠で損金算入限度額までの金額が損金の額に算入される。
SECT005,Q1420,法人税,法人による寄附金の取扱いについて誤っているものを選択しなさい。,法人による政治団体に対する政治資金支援のための寄附金は全額損入算入される,国や地方公共団体に対する寄附金及び指定寄附金は、その全額が損金の額に算入される,特定公益増進法人に対する寄附金は、一般の寄附金とは別枠で損金算入限度額までの金額が損金の額に算入される。,公共法人に対する寄附金は、一般の寄附金とは別枠で損金算入限度額までの金額が損金の額に算入される。,法人による図書館建設のための寄附金はその全額が損金算入される,1,法人による政治団体に対する政治資金支援のための寄附金は全額損入算入される,寄附金は国や地方公共団体に対する寄附金および財務大臣が指定した指定寄附金、社会福祉法人等の特定公益増進法人に対する寄附金、その他の一般の寄附金に区分される。#国や地方公共団体に対する寄附金及び指定寄附金は、その全額が損金の額に算入される。#公共法人、特定公益増進法人や認定特定非営利活動法人等に対する寄附金は、一般の寄附金とは別枠で損金算入限度額までの金額が損金の額に算入される。
SECT005,Q1430,法人税,次の中から正しい記述を選びなさい。,普通法人は事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は事業年度が１ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から８ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は事業年度終了の日の翌日から１ヶ月以内に、確定した決算に基づき所轄税務署長に確定申告書を提出し、申告税額を納付しなければならない。,普通法人は事業年度終了の日の翌日から３営業日以内に、確定した決算に基づき所轄税務署長に確定申告書を提出し、申告税額を納付しなければならない。,1,普通法人は事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は、その事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月いないに所轄税務署長に対して中間申告書を提出しなければならない。#また、事業年度終了の日の翌日から２ヶ月以内に、確定した決算に基づき所轄税務署長に確定申告書を提出し、申告税額を納付しなければならない。
SECT005,Q1440,法人税,次の中から正しい記述を選びなさい。,普通法人は事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は事業年度が２ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は事業年度が１ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は事業年度終了の日の翌日から３ヶ月以内に、確定した決算に基づき所轄税務署長に確定申告書を提出し、申告税額を納付しなければならない。,普通法人は事業年度終了の日の翌日から１ヶ月以内に、確定した決算に基づき所轄税務署長に確定申告書を提出し、申告税額を納付しなければならない。,1,普通法人は事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は、その事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月いないに所轄税務署長に対して中間申告書を提出しなければならない。#また、事業年度終了の日の翌日から２ヶ月以内に、確定した決算に基づき所轄税務署長に確定申告書を提出し、申告税額を納付しなければならない。
SECT005,Q1450,法人税,次の中から正しい記述を選びなさい。,普通法人は事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は事業年度が３ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は事業年度が２ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は事業年度終了の日の翌日から４ヶ月以内に、確定した決算に基づき所轄税務署長に確定申告書を提出し、申告税額を納付しなければならない。,普通法人は事業年度終了の日の翌日から３ヶ月以内に、確定した決算に基づき所轄税務署長に確定申告書を提出し、申告税額を納付しなければならない。,1,普通法人は事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は、その事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月いないに所轄税務署長に対して中間申告書を提出しなければならない。#また、事業年度終了の日の翌日から２ヶ月以内に、確定した決算に基づき所轄税務署長に確定申告書を提出し、申告税額を納付しなければならない。
SECT005,Q1460,法人税,次の中から正しい記述を選びなさい。,普通法人は事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は事業年度が４ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は事業年度が３ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は事業年度終了の日の翌日から５ヶ月以内に、確定した決算に基づき所轄税務署長に確定申告書を提出し、申告税額を納付しなければならない。,普通法人は事業年度終了の日の翌日から４ヶ月以内に、確定した決算に基づき所轄税務署長に確定申告書を提出し、申告税額を納付しなければならない。,1,普通法人は事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は、その事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月いないに所轄税務署長に対して中間申告書を提出しなければならない。#また、事業年度終了の日の翌日から２ヶ月以内に、確定した決算に基づき所轄税務署長に確定申告書を提出し、申告税額を納付しなければならない。
SECT005,Q1470,法人税,次の中から正しい記述を選びなさい。,普通法人は事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後１ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は事業年度が４ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は事業年度終了の日の翌日から６ヶ月以内に、確定した決算に基づき所轄税務署長に確定申告書を提出し、申告税額を納付しなければならない。,普通法人は事業年度終了の日の翌日から５ヶ月以内に、確定した決算に基づき所轄税務署長に確定申告書を提出し、申告税額を納付しなければならない。,1,普通法人は事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月以内に所轄税務署長に対して中間申告書を提出しなければならない。,普通法人は、その事業年度が６ヶ月を超える場合、原則として、事業年度開始の日以後６ヶ月を経過した日から２ヶ月いないに所轄税務署長に対して中間申告書を提出しなければならない。#また、事業年度終了の日の翌日から２ヶ月以内に、確定した決算に基づき所轄税務署長に確定申告書を提出し、申告税額を納付しなければならない。
